,ds,y,ma4,var4,momentum0,rsi,MACD,upper_band,ema,diff4,lower_band,momentum1,kalman
348,1999-09-23,2150.82,2131.9700000000003,28.223714614984075,-5.449999999999818,50.22398522723386,17.394593417794113,2172.69443108269,2148.599206032653,2.1550000000002,2026.1324919942333,24.41000000000031,2137.1489973402377
349,1999-09-30,2103.85,2134.3375,24.11804493876067,-46.970000000000255,53.14060351689705,14.825341050518093,2171.9308687746616,2118.7664020108846,2.3674999999998363,2030.6937466099544,-52.42000000000007,2111.3396562382595
350,1999-10-07,2092.65,2125.8975,32.327017982920054,-11.199999999999818,56.85803879060052,11.749996990110503,2171.9078968430663,2101.3554673369617,-8.440000000000055,2033.6721031569336,-58.17000000000007,2096.746668395141
351,1999-10-14,2079.73,2106.7625,30.98098704584163,-12.920000000000073,54.11408752121619,8.175981022667656,2172.827595043055,2086.9384891123204,-19.13500000000022,2033.7654818800215,-24.11999999999989,2088.288765854014
352,1999-10-21,2074.71,2087.735,13.13495463770242,-5.019999999999982,46.768154700678856,4.882196649056823,2173.1258279596827,2078.7861630374405,-19.02749999999969,2032.4218643480092,-17.940000000000055,2092.64829287502
353,1999-10-28,2131.77,2094.715,25.83336021506314,57.059999999999945,50.79860054761178,6.797753659486261,2170.6543393720067,2114.10872101248,6.980000000000018,2037.9841221664549,52.03999999999997,2123.8718338569474
354,1999-11-04,2154.28,2110.1225,39.14182875562458,22.51000000000022,52.2300989514105,10.016748426523918,2173.26157195373,2140.889573670827,15.4074999999998,2044.0368895847316,79.57000000000016,2143.267245651168
355,1999-11-10,2139.51,2125.0675,34.84612496392387,-14.769999999999982,59.48946549476432,11.246368276179965,2172.9241954919275,2139.969857890276,14.945000000000164,2051.222727584996,7.7400000000002365,2146.1701858018246
356,1999-11-18,2160.02,2146.395,13.026993769407955,20.509999999999764,57.42696778185357,13.71770726635259,2179.386829013688,2153.3366192967587,21.327499999999876,2052.983170986312,5.739999999999782,2159.0472815540825
357,1999-11-23,2161.65,2153.865,10.07850021919142,1.6300000000001091,51.358311452231895,15.627642859606569,2184.227688966646,2158.8788730989195,7.470000000000255,2052.8284648795084,22.139999999999876,2170.467654412292
358,1999-12-02,2214.79,2168.9925,32.15092987252998,53.13999999999987,63.0163187238025,21.185026667886632,2197.6138933139346,2196.15295769964,15.1274999999996,2046.738414378373,54.76999999999998,2195.093162947836
359,1999-12-09,2179.82,2179.07,25.448246828974558,-34.9699999999998,66.25165789586283,22.50804786619301,2204.1307097838235,2185.264319233213,10.077499999999873,2046.6139056007928,18.170000000000076,2190.2210983730533
360,1999-12-15,2207.8,2191.0150000000003,24.72932200179572,27.980000000000015,72.98311444652913,25.520123758128648,2213.8012490866904,2200.288106411071,11.945000000000618,2043.5333662979256,-6.989999999999782,2200.9255021862823
